#{"t_start": 1751936369.082174, "env_id": "None"}
r,l,t
-105.105088,398,2.9742
1281.516391,730,5.25909
1228.099312,690,6.73516
1253.894754,705,13.834071
1166.327433,687,15.114937
1163.751918,709,18.90845
1186.404405,701,27.446467
1122.966311,700,28.81066
1174.769282,692,30.158055
1144.307563,704,37.431067
1128.889145,690,38.987269
1093.080354,706,40.636012
1143.817811,702,48.030848
1111.91443,698,49.978927
1162.472661,697,51.57588
1180.847694,693,58.767523
1125.724561,705,60.528699
1182.995476,704,67.677573
1178.554949,711,69.562506
1107.324154,718,71.059629
1182.964809,706,78.573164
1132.868654,701,79.965106
1186.965932,711,81.584688
1140.052048,696,88.702751
1224.686285,709,90.914277
1061.325899,697,93.864387
1108.746033,709,111.698872
943.2188,706,114.028092
1125.860254,711,116.648533
1169.653552,703,127.462055
1225.6175,694,129.386063
1198.214414,695,131.939316
1028.56552,684,143.937082
1084.940343,691,145.56194
1038.602861,700,146.995577
1128.622195,708,157.966733
1154.69016,697,159.390362
1119.905764,702,161.303197
1031.423202,701,169.031001
1101.855516,699,170.526604
1172.933398,700,172.104081
1069.600898,689,181.703467
