#{"t_start": 1751935079.918294, "env_id": "None"}
r,l,t
-19753.564883,379,2.016248
175489.884463,693,3.318483
511741.046142,697,5.29662
544239.412762,680,13.626278
516042.188175,665,14.96859
524969.08799,662,16.481767
539005.567167,661,23.595925
520678.246985,663,24.936643
501049.306293,654,26.197141
553194.19059,658,33.981132
509737.632662,653,35.534195
488034.080557,669,36.868098
477892.586913,657,44.895965
526501.838994,657,46.380655
512314.229958,651,48.180735
504666.226127,663,56.292661
529988.197139,651,57.426588
515622.264026,656,58.921522
535236.331645,655,66.567777
526133.745661,664,67.94965
519226.653702,647,69.627197
532090.234452,653,70.9143
518745.680138,643,79.126353
546496.449867,646,80.659467
565316.851128,665,82.211832
553745.895674,653,90.609336
551517.679823,655,91.901749
539942.610968,653,93.193293
516423.838966,670,100.806487
519558.833214,651,102.269742
537367.847388,661,103.550564
579270.79249,643,111.008937
543830.329354,652,112.321026
516744.758773,643,113.681103
557154.768864,653,121.313692
572318.636815,649,122.792425
540338.768009,650,124.170796
533148.150911,650,132.906422
546690.519726,648,134.128884
524425.335259,645,135.643357
531321.358314,646,143.204155
525090.581305,643,144.577971
555873.339843,650,146.058563
532406.342054,647,147.591061
520876.351147,650,155.60743
549684.41233,639,157.074543
550597.124494,651,159.058545
560242.232353,636,166.274221
556536.350862,641,167.539863
561064.661018,641,169.049903
533874.182384,646,177.270031
550057.489416,644,179.166207
569966.736252,642,181.04191
556687.789383,648,189.799946
565906.223417,645,191.725679
575094.148275,640,194.02607
555361.650966,642,202.844948
553054.127582,641,204.22367
565535.362031,644,205.974815
545937.497827,648,207.597398
526577.499541,647,216.095806
535159.53775,649,217.518565
565441.742753,643,219.028919
554814.573114,641,226.208816
541959.841262,652,227.549948
534138.205177,645,229.535842
542387.766183,647,237.873471
583477.861248,635,239.105443
556193.029497,639,240.802703
531307.678336,635,249.167428
566588.638198,644,250.637292
566681.342849,649,252.040418
563632.094181,645,260.96845
535088.156335,634,262.328614
544335.328312,643,264.108962
535393.263994,631,272.723958
573656.02435,637,274.518424
559160.895513,642,276.155789
584485.166601,639,277.793191
547525.13817,643,287.172479
589547.596171,641,288.813912
577742.123966,638,290.504482
