train/clip_range,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_coef,train/learning_rate,time/iterations,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
0.2,4138,2048,0,0.01995904,0.0003,1,,,,,,,,,,,
0.2,2281,4096,1,0.01991808,0.0003,2,0.09033203125,0.010346889,3.8733937740325928,-0.0116773769914289,-8.535990172624588,2.09030655073002,10,1.0072503089904785,-0.11991381645202637,,
0.2,1962,6144,3,0.01987712,0.0003,3,0.08173828125,0.009011386,-0.1820201724767685,-0.00966861583874561,-8.572503474354743,0.039562246477726146,20,1.0125856399536133,0.6004420518875122,,
0.2,1921,8192,4,0.019836160000000002,0.0003,4,0.095458984375,0.010360534,-0.1941043883562088,-0.011632384423865005,-8.60501233935356,0.011785186758061172,30,1.0190868377685547,0.787547379732132,,
0.2,1889,10240,5,0.0197952,0.0003,5,0.120654296875,0.011266477,-0.13860414922237396,-0.012595009258075152,-8.652124536037444,0.013492299596691737,40,1.026713490486145,0.9124795719981194,,
0.2,1872,12288,6,0.01975424,0.0003,6,0.113232421875,0.010831261,-0.2058447003364563,-0.011102640014723875,-8.690499529242516,0.013782038632780314,50,1.0337462425231934,0.8379715532064438,,
0.2,1864,14336,7,0.01971328,0.0003,7,0.085595703125,0.00933392,-0.18342325091362,-0.00909888350579422,-8.732044342160226,0.01217405755087384,60,1.0391790866851807,0.4628549814224243,,
0.2,1861,16384,8,0.01967232,0.0003,8,0.09189453125,0.008114282,-0.1573333442211151,-0.010657319959136657,-8.742208939790725,0.012297342598321848,70,1.0388559103012085,0.8561336845159531,,
0.2,1847,18432,9,0.01963136,0.0003,9,0.1119140625,0.0092059355,-0.15098555386066437,-0.010430314895347691,-8.732102632522583,0.013098036480369047,80,1.036033272743225,0.9252220988273621,,
0.2,1836,20480,11,0.0195904,0.0003,10,0.105224609375,0.009138432,-0.16796699166297913,-0.011987670455710031,-8.727426880598069,0.012366813852713677,90,1.0366849899291992,0.7496711909770966,,
0.2,1832,22528,12,0.01954944,0.0003,11,0.0794921875,0.008745228,-0.17078714072704315,-0.007563245162600651,-8.747771012783051,0.008416029391810298,100,1.0428624153137207,0.5530191659927368,,
0.2,1825,24576,13,0.01950848,0.0003,12,0.0943359375,0.009996862,-0.19353455305099487,-0.011315160783124157,-8.787209337949752,0.00924262724001892,110,1.0513052940368652,0.8173957616090775,,
0.2,1817,26624,14,0.019467520000000002,0.0003,13,0.11005859375,0.009240115,-0.1571679711341858,-0.010964013320335652,-8.845457500219345,0.011245937953935936,120,1.0633208751678467,0.8176984637975693,,
0.2,1811,28672,15,0.01942656,0.0003,14,0.097607421875,0.009052806,-0.194267138838768,-0.012730670199380257,-8.855687764286994,0.010095441095472779,130,1.055656909942627,0.714363157749176,,
0.2,1793,30720,17,0.0193856,0.0003,15,0.09599609375,0.00980708,-0.19148218631744385,-0.008805233385646715,-8.852205723524094,0.006864621838030871,140,1.06086003780365,0.7631808966398239,,
0.2,1767,32768,18,0.01934464,0.0003,16,0.112646484375,0.00902009,-0.17048919200897217,-0.011758267672848887,-8.857544353604316,0.007314320928708184,150,1.0589226484298706,0.8021092414855957,,
0.2,1758,34816,19,0.01930368,0.0003,17,0.094580078125,0.011118738,-0.177446186542511,-0.015177404042333364,-8.865841388702393,0.059506599931046365,160,1.063936471939087,-0.17355656623840332,,
0.2,1750,36864,21,0.01926272,0.0003,18,0.0861328125,0.00966808,-0.19936692714691162,-0.011644318627077155,-8.886222302913666,0.009384540416067465,170,1.0641971826553345,0.8406747281551361,,
