time/iterations,train/entropy_coef,time/total_timesteps,train/clip_range,time/fps,train/learning_rate,time/time_elapsed,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,0.01995904,2048,0.2,2942,0.0003,0,,,,,,,,,,,
2,0.01991808,4096,0.2,1718,0.0003,2,10,2.1555923866573723,0.01042954,0.092333984375,-0.03775835037231445,-0.00866609428776428,1.0128333568572998,3.6941277980804443,-8.55605145394802,,
3,0.01987712,6144,0.2,1680,0.0003,3,20,0.07869678527931682,0.010635056,0.100244140625,0.3888201117515564,-0.014430265325063373,1.013872504234314,-0.16114620864391327,-8.590344548225403,,
4,0.019836160000000002,8192,0.2,1570,0.0003,5,30,0.04062652721768245,0.010340294,0.08662109375,0.8671237081289291,-0.012306039611576124,1.0271649360656738,-0.1800042688846588,-8.641790854930878,,
5,0.0197952,10240,0.2,1568,0.0003,6,40,0.04435609689098783,0.011481505,0.127001953125,0.9356603696942329,-0.017190624531940556,1.0339103937149048,-0.19028553366661072,-8.694257268309594,,
6,0.01975424,12288,0.2,1556,0.0003,7,50,0.042446627537719904,0.015074413,0.16474609375,0.943778108805418,-0.02081907499814406,1.0424540042877197,-0.16383419930934906,-8.740518185496331,,
7,0.01971328,14336,0.2,1572,0.0003,9,60,0.024277155406889506,0.012813256,0.1328125,0.9674016200006008,-0.01718350286537316,1.053909182548523,-0.18036235868930817,-8.797020840644837,,
8,0.01967232,16384,0.2,1578,0.0003,10,70,0.0275416049931664,0.0108517,0.1064453125,0.9620553255081177,-0.013605588919017465,1.065392255783081,-0.1822645515203476,-8.863800576329231,,
9,0.01963136,18432,0.2,1584,0.0003,11,80,0.026130885066231714,0.01072444,0.108642578125,0.9659934528172016,-0.013415477104717865,1.0656884908676147,-0.1704096794128418,-8.888915285468102,,
10,0.0195904,20480,0.2,1574,0.0003,13,90,0.021006165182916446,0.010832665,0.11005859375,0.9727765414863825,-0.01483654098410625,1.0772150754928589,-0.20944510400295258,-8.927129867672921,,
11,0.01954944,22528,0.2,1578,0.0003,14,100,0.0195671078923624,0.010586236,0.10771484375,0.9759170282632113,-0.014478606829652563,1.0817222595214844,-0.16519352793693542,-8.966058245301246,,
12,0.01950848,24576,0.2,1584,0.0003,15,110,0.019359823811100796,0.010551715,0.10859375,0.9755306243896484,-0.014528535408317111,1.085815191268921,-0.20805759727954865,-8.990825164318085,,
13,0.019467520000000002,26624,0.2,1586,0.0003,16,120,0.023222913054632956,0.008544096,0.089013671875,0.9700324907898903,-0.01246268947434146,1.0908464193344116,-0.1947527676820755,-9.013643234968185,,
14,0.01942656,28672,0.2,1584,0.0003,18,130,0.017587896776967683,0.0119449105,0.1275390625,0.9774714540690184,-0.016431535956508016,1.0940669775009155,-0.17403818666934967,-9.03701937198639,,
15,0.0193856,30720,0.2,1555,0.0003,19,140,0.022937314517912456,0.011100765,0.117578125,0.9680323824286461,-0.01410480707854731,1.0936546325683594,-0.1835087239742279,-9.04736120402813,,
16,0.01934464,32768,0.2,1551,0.0003,21,150,0.022705450854846276,0.009491989,0.102392578125,0.9706966672092676,-0.012746512187004556,1.105313777923584,-0.16399866342544556,-9.076961573958396,,
17,0.01930368,34816,0.2,1553,0.0003,22,160,0.019205991708440708,0.0121761765,0.125390625,0.9729218054562807,-0.015927862015087158,1.1111328601837158,-0.21538473665714264,-9.121061050891877,,
18,0.01926272,36864,0.2,1554,0.0003,23,170,0.023133406133274546,0.010901377,0.131396484375,0.9727781135588884,-0.016737182973884046,1.1139779090881348,-0.18381504714488983,-9.141302049160004,,
19,0.01922176,38912,0.2,1557,0.0003,24,180,0.024335003970190883,0.010264184,0.111376953125,0.9722990375012159,-0.013687843910884113,1.1119024753570557,-0.17500735819339752,-9.141951602697372,,
,0.01920016,40000,0.2,,0.0003,,190,0.022867737847263925,0.01158116,0.119482421875,0.9722721390426159,-0.01403527074289741,1.1230716705322266,-0.19201530516147614,-9.172244265675545,41.0,-3.2754024520516394
20,0.0191808,40960,0.2,1538,0.0003,26,,,,,,,,,,,
21,0.01913984,43008,0.2,1541,0.0003,27,200,0.01897834612755105,0.009601888,0.09716796875,0.9750722851604223,-0.011869123706128448,1.128143072128296,-0.20086845755577087,-9.211668521165848,,
22,0.01909888,45056,0.2,1545,0.0003,29,210,0.020281240867916495,0.011514356,0.111962890625,0.9742648173123598,-0.01380515302589629,1.1370134353637695,-0.16156436502933502,-9.249172404408455,,
23,0.01905792,47104,0.2,1548,0.0003,30,220,0.02043925863399636,0.011891101,0.12255859375,0.9750407729297876,-0.017460368793399537,1.1481075286865234,-0.18416567146778107,-9.300973936915398,,
24,0.01901696,49152,0.2,1544,0.0003,31,230,0.02203708563465625,0.009543767,0.087158203125,0.972752720117569,-0.010779597031068988,1.1570714712142944,-0.19270385801792145,-9.351940613985061,,
25,0.018976,51200,0.2,1547,0.0003,33,240,0.02022412451042328,0.014170004,0.126318359375,0.9741438142955303,-0.014453784629586153,1.166123628616333,-0.19421467185020447,-9.39192008972168,,
26,0.01893504,53248,0.2,1549,0.0003,34,250,0.016328652708034498,0.010494843,0.126416015625,0.978700302541256,-0.015362955525051802,1.1712913513183594,-0.2093038111925125,-9.427889508008956,,
27,0.01889408,55296,0.2,1549,0.0003,35,260,0.017716973609640262,0.010999698,0.109716796875,0.9785654377192259,-0.012312441485119053,1.1796467304229736,-0.20073887705802917,-9.460302200913429,,
28,0.01885312,57344,0.2,1551,0.0003,36,270,0.023204616401926614,0.008739753,0.09033203125,0.9701798912137747,-0.011223254512879066,1.182051181793213,-0.1802627593278885,-9.479202011227608,,
29,0.01881216,59392,0.2,1552,0.0003,38,280,0.020468192637781612,0.009994531,0.111181640625,0.9743876997381449,-0.015561445892672054,1.1813513040542603,-0.1605975329875946,-9.481075999140739,,
30,0.018771200000000002,61440,0.2,1555,0.0003,39,290,0.018212433578446506,0.011131879,0.121484375,0.9783145859837532,-0.016851641761604697,1.183229684829712,-0.1818183958530426,-9.482300657033921,,
31,0.018730240000000002,63488,0.2,1557,0.0003,40,300,0.017410648171789944,0.011353743,0.127880859375,0.9777221288532019,-0.013924450436024926,1.1839326620101929,-0.18471987545490265,-9.484962868690491,,
32,0.01868928,65536,0.2,1560,0.0003,41,310,0.01995938814652618,0.010726271,0.113427734375,0.9741727635264397,-0.012769258537446149,1.1890935897827148,-0.18526194989681244,-9.499716266989708,,
33,0.01864832,67584,0.2,1554,0.0003,43,320,0.0198978683387395,0.010303375,0.10947265625,0.9748080968856812,-0.0164283894788241,1.185435175895691,-0.1742418259382248,-9.498877155780793,,
34,0.01860736,69632,0.2,1543,0.0003,45,330,0.017973487538984045,0.010034222,0.11162109375,0.9788097180426121,-0.015582270576851442,1.1922582387924194,-0.1972050964832306,-9.509836739301681,,
35,0.0185664,71680,0.2,1536,0.0003,46,340,0.020243865926750003,0.010337278,0.117236328125,0.9744782596826553,-0.015331549750408157,1.1937311887741089,-0.16879771649837494,-9.527802774310112,,
36,0.01852544,73728,0.2,1533,0.0003,48,350,0.022944382802234032,0.011394789,0.134423828125,0.9725595749914646,-0.015366602124413476,1.195433259010315,-0.20588167011737823,-9.534779977798461,,
37,0.01848448,75776,0.2,1509,0.0003,50,360,0.021148375733173453,0.011121117,0.1341796875,0.973480585962534,-0.014381200436037033,1.2058286666870117,-0.18797078728675842,-9.567073675990105,,
38,0.01844352,77824,0.2,1502,0.0003,51,370,0.017043752004974523,0.010414176,0.126171875,0.9795219786465168,-0.014368926736642607,1.2082300186157227,-0.18737392127513885,-9.60067597925663,,
39,0.018402560000000002,79872,0.2,1502,0.0003,53,380,0.01934963715611957,0.012386654,0.142138671875,0.9781792517751455,-0.018011049876804464,1.223907709121704,-0.1831424981355667,-9.65119087100029,,
,0.01840016,80000,0.2,,0.0003,,390,0.018867357794079,0.010047339,0.1072265625,0.9758767243474722,-0.013464097448741085,1.2246689796447754,-0.19865433871746063,-9.685336115956307,41.0,-3.2636406391859056
40,0.0183616,81920,0.2,1495,0.0003,54,,,,,,,,,,,
41,0.01832064,83968,0.2,1498,0.0003,56,400,0.01699153373920126,0.012376672,0.13388671875,0.9772304315119982,-0.01664307340834057,1.2238597869873047,-0.1729770451784134,-9.684909829497338,,
42,0.01827968,86016,0.2,1501,0.0003,57,410,0.01715952925151214,0.009734829,0.11728515625,0.977055249735713,-0.015544670258532279,1.2341986894607544,-0.19273430109024048,-9.706500586867332,,
43,0.01823872,88064,0.2,1500,0.0003,58,420,0.018539118149783464,0.011911967,0.134521484375,0.9752869382500648,-0.017244369027321228,1.2531015872955322,-0.21677857637405396,-9.784478837251664,,
44,0.01819776,90112,0.2,1503,0.0003,59,430,0.02006872825731989,0.00996865,0.113037109375,0.9754944406449795,-0.014258982345927507,1.2540581226348877,-0.20160773396492004,-9.828999841213227,,
45,0.0181568,92160,0.2,1504,0.0003,61,440,0.01554361750895623,0.008705586,0.0943359375,0.9803972151130438,-0.012097828020341695,1.262650489807129,-0.18396127223968506,-9.856516566872596,,
46,0.01811584,94208,0.2,1503,0.0003,62,450,0.019549713461310604,0.010220364,0.101123046875,0.9790564775466919,-0.011941201584704686,1.2690887451171875,-0.18064263463020325,-9.889961478114127,,
47,0.01807488,96256,0.2,1499,0.0003,64,460,0.02149594153452199,0.010040335,0.098876953125,0.9753639325499535,-0.012321761000202968,1.2772722244262695,-0.14857658743858337,-9.925053876638412,,
48,0.018033920000000002,98304,0.2,1496,0.0003,65,470,0.02456525467860047,0.0113759935,0.12529296875,0.9723707903176546,-0.01418488608323969,1.2786920070648193,-0.17098742723464966,-9.945645576715469,,
49,0.017992960000000002,100352,0.2,1495,0.0003,67,480,0.02267921759339515,0.010967852,0.11787109375,0.9713884927332401,-0.016344509623013436,1.2960747480392456,-0.21549436450004578,-9.995053154230117,,
